A0001,MTBF,平均故障時間,0,0
A0002,MTTR,平均復旧時間,0,0
A0003,スーパスカラ,複数のパイプライン処理を行う。,CPUの高速化技術,0
A0004,パイプライン処理,命令実行サイクルをステージ単位にわけ、サイクルが終わる前に平行して命令を実行する。,CPUの高速化技術,0
A0005,逐次制御方式,命令サイクルを１つずつ順番に処理していく。,CPUの高速化技術,0
A0006,スーパパイプライン,パイプライン命令の1ステージを更に細分化し、ステージ内の処理を並列化して高速処理する。,CPUの高速化技術,0
A0007,オペランド,CPUが処理する変数や定数,CPU,0
A0008,フェッチ,命令を主記憶から取り出しCPUのレジスタに格納する,CPU,0
A0009,実行アドレス計算,命令の対処になるオペランドの格納場所を計算して求める。,CPU,0
A0010,アドレス指定方式,オペランドが格納されているアドレスを指定する方法。即値アドレス指定方式や間接アドレス指定方式などがある。,CPU,0
A0011,即値アドレス指定方式,フェッチのアドレス部にそのままオペランドが格納されている方式,CPU,0
A0012,直接アドレス指定方式,フェッチのアドレス部にオペランドが格納されているアドレスが格納されている方式,CPU,0
A0013,間接アドレス方式,フェッチのアドレス部で指定された番地に、更にオペランドが格納されているアドレスが記載されている方式。,CPU,0
A0014,指標アドレス指定方式,フェッチのアドレス部に指標アドレス番号とアドレス定数が記載されている。指標アドレスのオペランドにアドレス定数を加算した値が、オペランドが格納されているアドレスになる。,CPU,0
A0015,CPUの投機実行,分岐命令の分岐先が決まる前に次にどの命令が実行されるか予測し、命令を実行する。,CPUの高速化技術,0
A0016,DRAM,主記憶で使われる。コンデンサで記憶。定期的にリフレッシュが必要。,メモリ,0
A0017,SRAM,キャッシュで使われる。フリップフロップで構成。リフレッシュ不要。容量は少ない,メモリ,0
A0018,実行アクセス時間,実行アクセス時間＝キャッシュメモリのアクセス時間×ヒット率＋主記憶のアクセス時間×（1-ヒット率),メモリ,0
A0019,ライトスルー方式,キャッシュと主記憶に同時に書き込み,メモリ,0
A0020,ライトバック方式,キャッシュメモリにかきこみ、データがキャッシュから追い出されるときに主記憶に書き込まれる。,メモリ,0
A0021,メモリインタリーブ方式,主記憶を複数のバンクに分けて、同時並行でアクセスできるようにする高速化技術。,メモリ,0
A0022,磁気ディスクのアクセス時間,シーク時間＋回転待ち時間（１／２回転時間）＋データ転送時間,補助記憶装置,0
A0023,IrDA,赤外線を使ってデータを転送する。携帯電話のデータ転送などに使われる。,入力装置,0
A0024,API,アプリケーションからOSの各種機能を利用する仕組み,ソフトウェア,0
A0025,ミドルウェア,応用ソフトウェアと基本ソフトウェアの中間に位置し、応用ソフトウェアに専門的な機能を提供するソフトウェア,ソフトウェア,0
